filename,width,height,class,xmin,ymin,xmax,ymax
004858_jpg.rf.002ab521984d81c7400faa6f916f5a01.jpg,500,375,head,301,100,330,135
004858_jpg.rf.002ab521984d81c7400faa6f916f5a01.jpg,500,375,head,340,121,370,158
004858_jpg.rf.002ab521984d81c7400faa6f916f5a01.jpg,500,375,head,199,111,223,137
004858_jpg.rf.002ab521984d81c7400faa6f916f5a01.jpg,500,375,head,277,109,295,132
004858_jpg.rf.002ab521984d81c7400faa6f916f5a01.jpg,500,375,head,154,116,174,141
004858_jpg.rf.002ab521984d81c7400faa6f916f5a01.jpg,500,375,head,131,119,150,141
004858_jpg.rf.002ab521984d81c7400faa6f916f5a01.jpg,500,375,head,122,119,133,136
004858_jpg.rf.002ab521984d81c7400faa6f916f5a01.jpg,500,375,head,180,120,195,138
003626_jpg.rf.0024e8fc3c8c3f411962ca8dab7b8e92.jpg,500,384,helmet,149,100,205,173
003626_jpg.rf.0024e8fc3c8c3f411962ca8dab7b8e92.jpg,500,384,helmet,100,115,163,194
003626_jpg.rf.0024e8fc3c8c3f411962ca8dab7b8e92.jpg,500,384,helmet,198,135,239,213
004785_jpg.rf.002ffb29898b3cba483a76e8b73d91a8.jpg,500,333,helmet,238,197,292,253
004785_jpg.rf.002ffb29898b3cba483a76e8b73d91a8.jpg,500,333,helmet,216,115,272,166
001583_jpg.rf.003f90c81288546862de558f7f2dae75.jpg,350,466,helmet,64,67,113,122
001583_jpg.rf.003f90c81288546862de558f7f2dae75.jpg,350,466,helmet,229,172,258,204
001583_jpg.rf.003f90c81288546862de558f7f2dae75.jpg,350,466,helmet,258,143,291,180
004434_jpg.rf.002a70f061745a217db4320ae7b402a7.jpg,490,325,head,54,132,84,164
004434_jpg.rf.002a70f061745a217db4320ae7b402a7.jpg,490,325,head,102,140,126,170
004434_jpg.rf.002a70f061745a217db4320ae7b402a7.jpg,490,325,head,220,142,242,167
004434_jpg.rf.002a70f061745a217db4320ae7b402a7.jpg,490,325,head,373,142,397,167
004434_jpg.rf.002a70f061745a217db4320ae7b402a7.jpg,490,325,head,147,150,168,173
004434_jpg.rf.002a70f061745a217db4320ae7b402a7.jpg,490,325,head,186,147,206,170
004434_jpg.rf.002a70f061745a217db4320ae7b402a7.jpg,490,325,head,253,147,271,171
004434_jpg.rf.002a70f061745a217db4320ae7b402a7.jpg,490,325,head,289,138,309,162
004434_jpg.rf.002a70f061745a217db4320ae7b402a7.jpg,490,325,head,331,146,351,169
002310_jpg.rf.0008cd4590d2edb0e1447329236d9c11.jpg,489,319,helmet,428,63,463,98
002310_jpg.rf.0008cd4590d2edb0e1447329236d9c11.jpg,489,319,helmet,267,122,301,156
002134_jpg.rf.0032ee88e18de84041793e2d65fd3b90.jpg,500,320,head,240,58,275,98
002134_jpg.rf.0032ee88e18de84041793e2d65fd3b90.jpg,500,320,head,418,22,477,83
002134_jpg.rf.0032ee88e18de84041793e2d65fd3b90.jpg,500,320,head,310,68,342,107
002134_jpg.rf.0032ee88e18de84041793e2d65fd3b90.jpg,500,320,head,162,63,194,99
